省份,城市,城市代码,24小时累积雨量(mm)
广西壮族自治区,贵港,59249,11.399999999999999
甘肃省,合水,53934,11.3
四川省,雷波,56485,11.299999999999999
贵州省,黔西,57803,11.200000000000001
陕西省,黄陵,53944,11.2
云南省,易门,56870,11.2
新疆维吾尔自治区,石河子,51356,11.1
湖南省,郴州,57972,11.1
云南省,通海,56878,11.0
陕西省,勉县,57119,11.0
广东省,德庆,59269,10.900000000000002
陕西省,南郑,57213,10.8
吉林省,图们,54293,10.8
陕西省,户县,57132,10.8
陕西省,长安,57039,10.8
陕西省,西乡,57129,10.7
四川省,壤塘,56164,10.7
重庆市,渝北,57513,10.6
云南省,澄江,56873,10.5
四川省,冕宁,56474,10.5
海南省,保亭,59945,10.3
湖南省,安仁,57881,10.3
福建省,古田,58836,10.3
四川省,越西,56475,10.3
陕西省,宁陕,57137,10.3
湖南省,蓝山,57975,10.200000000000001
广东省,三水,59279,10.2
四川省,会东,56675,10.2
浙江省,龙游,58547,10.1
四川省,大竹,57420,10.1
四川省,资中,56393,10.1
四川省,米易,56670,10.1
陕西省,柞水,57140,10.0
云南省,呈贡,56882,10.0
海南省,定安,59851,9.9
黑龙江省,桦南,50879,9.9
广东省,封开,59264,9.8
新疆维吾尔自治区,天池,51470,9.8
四川省,天全,56278,9.799999999999999
陕西省,太白,57028,9.700000000000001
四川省,安岳,57408,9.700000000000001
陕西省,渭南,57045,9.700000000000001
广东省,连州,59072,9.7
黑龙江省,五营,50772,9.7
重庆市,合川,57512,9.6
陕西省,留坝,57124,9.5
陕西省,兴平,57038,9.5
江西省,宁冈,57883,9.5
云南省,河口县,56989,9.5
云南省,永善,56489,9.4
福建省,周宁,58747,9.3
浙江省,桐庐,58542,9.2
湖南省,永兴,57887,9.2
浙江省,温州,58659,9.1
福建省,柘荣,58749,9.1
浙江省,温岭,58664,9.0
海南省,五指山,59941,8.899999999999999
福建省,福清,58942,8.8
广东省,惠来,59317,8.8
广东省,澄海,59319,8.700000000000001
吉林省,汪清,54195,8.7
重庆市,大足,57502,8.7
重庆市,铜梁,57510,8.7
黑龙江省,佳木斯,50873,8.6
广东省,花都,59284,8.6
浙江省,云和,58742,8.6
广西壮族自治区,扶绥,59426,8.6
海南省,琼中,59849,8.6
广西壮族自治区,上思,59429,8.5
陕西省,丹凤,57153,8.5
广东省,和平,59099,8.5
贵州省,习水,57614,8.5
湖南省,茶陵,57882,8.5
四川省,甘孜,56146,8.4
广东省,南雄,57996,8.4
云南省,宁蒗,56567,8.4
四川省,名山,56280,8.3
云南省,安宁,56863,8.299999999999999
甘肃省,宁县,53937,8.2
黑龙江省,克东,50659,8.2
陕西省,镇巴,57238,8.2
云南省,曲靖,56786,8.2
贵州省,安顺,57806,8.2
江西省,万安,57895,8.2
四川省,威远,56395,8.2
陕西省,佛坪,57134,8.2
江西省,资溪,58713,8.2
浙江省,平阳,58751,8.1
福建省,长汀,58911,8.1
广东省,信宜,59456,7.9
四川省,射洪,57401,7.9
海南省,屯昌,59854,7.8
云南省,江川,56876,7.7
浙江省,景宁,58648,7.7
云南省,永仁,56669,7.6000000000000005
江西省,井冈山,57894,7.6000000000000005
浙江省,建德,58544,7.6
陕西省,紫阳,57231,7.5
云南省,禄丰,56777,7.4
广东省,饶平,59313,7.4
福建省,长泰,59122,7.4
广东省,连山,59074,7.4
福建省,福鼎,58754,7.3
湖南省,道县,57965,7.199999999999999
浙江省,乐清,58656,7.1000000000000005
江西省,兴国,58804,7.1000000000000005
四川省,隆昌,57507,7.1
四川省,雅安,56287,7.1
河南省,卢氏,57067,7.1
四川省,黑水,56185,7.1
陕西省,镇安,57144,7.1
重庆市,城口,57333,7.0
四川省,布拖,56580,7.0
云南省,镇雄,56595,7.0
浙江省,仙居,58652,6.9
江西省,信丰,57995,6.9
浙江省,诸暨,58550,6.9
广西壮族自治区,罗城,59033,6.9
广西壮族自治区,宁明,59427,6.9
甘肃省,灵台,53924,6.8999999999999995
云南省,华坪,56664,6.8999999999999995
福建省,莆田,58946,6.800000000000001
云南省,师宗,56883,6.8
贵州省,大方,57708,6.8
新疆维吾尔自治区,昌吉,51368,6.8
福建省,清流,58819,6.8
甘肃省,西峰,53923,6.7
福建省,闽清,58839,6.699999999999999
广东省,龙门,59290,6.699999999999999
湖南省,耒阳,57876,6.699999999999999
四川省,道孚,56167,6.6000000000000005
重庆市,北碚,57511,6.6
福建省,屏南,58933,6.6
陕西省,石泉,57232,6.6
福建省,光泽,58724,6.6
吉林省,舒兰,54076,6.6
湖南省,嘉禾,57974,6.5
浙江省,庆元,58745,6.5
广东省,怀集,59270,6.5
山西省,万荣,53956,6.5
江西省,永新,57891,6.5
陕西省,平利,57248,6.5
青海省,达日,56046,6.5
四川省,乐至,57407,6.5
陕西省,陇县,57003,6.4
甘肃省,泾川,53926,6.4
四川省,青川,57204,6.4
陕西省,杨凌,57123,6.4
陕西省,华阴,57055,6.3
黑龙江省,牡丹江,54094,6.3
四川省,达州,57328,6.2
四川省,昭觉,56479,6.199999999999999
四川省,喜德,56478,6.199999999999999
湖北省,郧西,57251,6.1000000000000005
广西壮族自治区,龙州,59417,6.1000000000000005
四川省,美姑,56487,6.1
四川省,盐亭,57308,6.1
陕西省,韩城,53955,6.1
贵州省,罗甸,57916,6.1
重庆市,梁平,57426,6.0
陕西省,华县,57049,6.0
陕西省,镇坪,57343,6.0
陕西省,旬邑,53938,6.0
四川省,荥经县,56373,6.0
福建省,寿宁,58744,5.9
广东省,翁源,59094,5.9
陕西省,麟游,57022,5.8999999999999995
陕西省,淳化,57031,5.800000000000001
广西壮族自治区,靖西,59218,5.800000000000001
重庆市,荣昌,57505,5.8
四川省,合江,57603,5.8
广东省,顺德,59480,5.8
陕西省,咸阳,57048,5.8
陕西省,略阳,57106,5.7
浙江省,泰顺,58746,5.7
广东省,始兴,59090,5.7
陕西省,岚皋,57247,5.6
陕西省,白河,57254,5.6
陕西省,凤县,57113,5.6
吉林省,龙井,54290,5.6
福建省,秀屿港,58938,5.6
陕西省,武功,57034,5.6
陕西省,潼关,57054,5.5
贵州省,丹寨,57829,5.5
黑龙江省,林口,50979,5.5
陕西省,铜川,53947,5.5
甘肃省,庆城,53829,5.5
河南省,栾川县,57077,5.5
湖北省,竹溪,57249,5.5
江西省,分宜,57792,5.4
